Host : clust2
Date : Fri Apr 18 03:42:22 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 56: Espilon = 5208.4455, ESS = 1000 Acc. rate = 47.60% Uniqueness rate particules = 85.1% Uniqueness rate components = 85.1% Global parameters uniqueness rate = 85.1%

Iteration 57: Espilon = 4794.4063, ESS = 950 Acc. rate = 47.05% Uniqueness rate particules = 93.9% Uniqueness rate components = 93.9% Global parameters uniqueness rate = 93.9%

Iteration 58: Espilon = 4792.3626, ESS = 902 Acc. rate = 42.57% Uniqueness rate particules = 96.3% Uniqueness rate components = 96.3% Global parameters uniqueness rate = 96.3%

Iteration 59: Espilon = 4790.2472, ESS = 856 Acc. rate = 42.87% Uniqueness rate particules = 97.7% Uniqueness rate components = 97.7% Global parameters uniqueness rate = 97.7%

Iteration 60: Espilon = 4787.5389, ESS = 813 Acc. rate = 39.11% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 61: Espilon = 4783.9199, ESS = 772 Acc. rate = 36.92% Uniqueness rate particules = 98.1% Uniqueness rate components = 98.1% Global parameters uniqueness rate = 98.1%

Iteration 62: Espilon = 4777.6197, ESS = 733 Acc. rate = 32.20% Uniqueness rate particules = 98.1% Uniqueness rate components = 98.1% Global parameters uniqueness rate = 98.1%

Iteration 63: Espilon = 4770.4305, ESS = 696 Acc. rate = 31.75% Uniqueness rate particules = 98.1% Uniqueness rate components = 98.1% Global parameters uniqueness rate = 98.1%

Iteration 64: Espilon = 4761.6289, ESS = 661 Acc. rate = 26.78% Uniqueness rate particules = 98.1% Uniqueness rate components = 98.1% Global parameters uniqueness rate = 98.1%

Iteration 65: Espilon = 4751.1375, ESS = 628 Acc. rate = 25.64% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 66: Espilon = 4735.1206, ESS = 596 Acc. rate = 25.00% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 67: Espilon = 4716.1123, ESS = 566 Acc. rate = 24.56% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 68: Espilon = 4691.8373, ESS = 537 Acc. rate = 21.42% Uniqueness rate particules = 98.5% Uniqueness rate components = 98.5% Global parameters uniqueness rate = 98.5%

Iteration 69: Espilon = 4665.1767, ESS = 510 Acc. rate = 16.67% Uniqueness rate particules = 98.6% Uniqueness rate components = 98.6% Global parameters uniqueness rate = 98.6%

Resampling... 482 unique particles left
Iteration 70: Espilon = 4627.9945, ESS = 1000 Acc. rate = 17.70% Uniqueness rate particules = 64.3% Uniqueness rate components = 64.3% Global parameters uniqueness rate = 64.3%

Iteration 71: Espilon = 4599.6478, ESS = 950 Acc. rate = 16.53% Uniqueness rate particules = 73.0% Uniqueness rate components = 73.0% Global parameters uniqueness rate = 73.0%

Iteration 72: Espilon = 4558.3706, ESS = 902 Acc. rate = 15.52% Uniqueness rate particules = 78.9% Uniqueness rate components = 78.9% Global parameters uniqueness rate = 78.9%

